,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
184,"frozenset({'26000036', '26000062'})","frozenset({'26000004', '28000008'})",0.0164,0.0612,0.01355,0.8262195121951219,13.50031882671768,0.01254632,5.402217543859647
185,"frozenset({'26000036', '26000042', '26000062'})",frozenset({'28000008'}),0.01485,0.28105,0.0134,0.9023569023569024,3.2106632355698355,0.0092264075,7.363039655172414
186,"frozenset({'26000036', '28000008', '26000062'})",frozenset({'26000042'}),0.0138,0.1769,0.0134,0.9710144927536233,5.489058749313868,0.010958780000000001,28.39695000000009
187,"frozenset({'26000036', '26000062'})","frozenset({'26000042', '28000008'})",0.0164,0.06735,0.0134,0.8170731707317073,12.131747152660836,0.012295460000000001,5.098486666666665
188,"frozenset({'26000036', '28000008', '26000062'})",frozenset({'26000046'}),0.0138,0.0949,0.01335,0.9673913043478262,10.193796673844322,0.01204038,27.756400000000067
189,"frozenset({'26000036', '26000062', '26000046'})",frozenset({'28000008'}),0.01495,0.28105,0.01335,0.8929765886287626,3.177287274964464,0.0091483025,6.717689062500004
190,"frozenset({'26000062', '28000008', '26000046'})",frozenset({'26000036'}),0.01575,0.0411,0.01335,0.8476190476190477,20.623334491947634,0.012702675,6.2927812500000035
191,"frozenset({'26000036', '26000062'})","frozenset({'28000008', '26000046'})",0.0164,0.0397,0.01335,0.8140243902439024,20.504392701357744,0.01269892,5.163580327868851
192,"frozenset({'26000036', '28000008', '26000062'})",frozenset({'28000009'}),0.0138,0.08715,0.01275,0.9239130434782609,10.601411858614583,0.01154733,11.997457142857142
193,"frozenset({'26000036', '26000062', '28000009'})",frozenset({'28000008'}),0.0139,0.28105,0.01275,0.9172661870503597,3.26371174897833,0.008843404999999999,8.689917391304343
194,"frozenset({'26000062', '28000008', '28000009'})",frozenset({'26000036'}),0.0137,0.0411,0.01275,0.9306569343065693,22.643721029356918,0.012186929999999999,13.828347368421037
195,"frozenset({'26000036', '26000004', '26000042', '26000062'})",frozenset({'28000008'}),0.0144,0.28105,0.0133,0.923611111111111,3.286287532862875,0.009252879999999998,9.411709090909083
196,"frozenset({'26000036', '26000042', '28000008', '26000062'})",frozenset({'26000004'}),0.0134,0.11605,0.0133,0.9925373134328357,8.552669654742228,0.011744929999999999,118.4492999999979
197,"frozenset({'26000036', '26000004', '28000008', '26000062'})",frozenset({'26000042'}),0.01355,0.1769,0.0133,0.981549815498155,5.548613993771368,0.010903005,44.612020000000065
198,"frozenset({'26000062', '26000004', '26000042', '28000008'})",frozenset({'26000036'}),0.0152,0.0411,0.0133,0.875,21.289537712895378,0.012675279999999999,7.6712
199,"frozenset({'26000036', '26000042', '26000062'})","frozenset({'26000004', '28000008'})",0.01485,0.0612,0.0133,0.8956228956228955,14.634361039589797,0.01239118,8.994309677419349
200,"frozenset({'26000036', '26000004', '26000062'})","frozenset({'26000042', '28000008'})",0.0152,0.06735,0.0133,0.875,12.991833704528583,0.012276279999999999,7.4612
201,"frozenset({'26000036', '28000008', '26000062'})","frozenset({'26000004', '26000042'})",0.0138,0.0522,0.0133,0.9637681159420289,18.46299072685879,0.01257964,26.159279999999963
202,"frozenset({'26000036', '26000062'})","frozenset({'26000004', '26000042', '28000008'})",0.0164,0.0345,0.0133,0.8109756097560975,23.506539413220217,0.0127342,5.107806451612902
203,"frozenset({'26000036', '26000004', '26000062', '26000046'})",frozenset({'28000008'}),0.0143,0.28105,0.0132,0.923076923076923,3.284386846030681,0.009180985,9.346349999999992
204,"frozenset({'26000036', '26000004', '28000008', '26000062'})",frozenset({'26000046'}),0.01355,0.0949,0.0132,0.974169741697417,10.265223832427997,0.011914105,35.04030000000002
205,"frozenset({'26000036', '28000008', '26000062', '26000046'})",frozenset({'26000004'}),0.01335,0.11605,0.0132,0.9887640449438202,8.520155492837745,0.0116507325,78.67154999999981
206,"frozenset({'26000062', '26000004', '28000008', '26000046'})",frozenset({'26000036'}),0.014,0.0411,0.0132,0.9428571428571428,22.94056308654849,0.0126246,16.780749999999994
207,"frozenset({'26000036', '26000004', '26000062'})","frozenset({'28000008', '26000046'})",0.0152,0.0397,0.0132,0.868421052631579,21.874585708604005,0.01259656,7.298280000000002
208,"frozenset({'26000036', '26000062', '26000046'})","frozenset({'26000004', '28000008'})",0.01495,0.0612,0.0132,0.882943143812709,14.427175552495246,0.01228506,8.020034285714283
209,"frozenset({'26000036', '28000008', '26000062'})","frozenset({'26000004', '26000046'})",0.0138,0.0332,0.0132,0.9565217391304348,28.810895756940806,0.01274184,22.236400000000014
210,"frozenset({'26000062', '28000008', '26000046'})","frozenset({'26000036', '26000004'})",0.01575,0.02595,0.0132,0.8380952380952381,32.2965409670612,0.0127912875,6.016191176470588
211,"frozenset({'26000036', '26000062'})","frozenset({'26000004', '28000008', '26000046'})",0.0164,0.0243,0.0132,0.8048780487804877,33.1225534477567,0.01280148,5.0004624999999985
212,"frozenset({'26000036', '26000042', '26000062', '26000046'})",frozenset({'28000008'}),0.01435,0.28105,0.0131,0.9128919860627178,3.248147966777149,0.0090669325,8.253546000000004
