index,rank,crowns,troop,building,spell,common,rare,epic,legendary,elixir,conf_synergy,lift_synergy,levelSum,avgSpeed,avgSpellDuration,totalHP,totalDMG,avgAS,totalUnitsCount,abilityCount,avgRange,totalGroundT,totalAirT,totalBuildingT,totalBuffCount,totalProjectiles
4156,Master,1,6,0,2,1,1,3,3,4.375,4192.043714323739,113360.63234131,104,82.5,0.75,12524,1914,1.4833333333333334,10,3,2006.25,8,3,1,0,2
4157,Master,1,6,0,2,4,1,1,2,3.125,4909.866254372794,180055.13251011155,104,90.0,0.0,4725,2134,1.4166666666666667,22,1,3175.0,8,4,1,1,1
4158,Challenger,3,5,1,2,3,3,1,1,3.625,0.0,0.0,94,90.0,10.0,8527,1994,1.0333333333333334,23,1,2200.0,8,5,0,1,1
4159,Challenger,3,8,0,0,1,3,3,1,3.75,0.0,0.0,104,82.5,0.0,8976,2658,1.4,32,2,1893.75,8,3,3,0,0
4160,Challenger,1,5,1,2,3,4,0,1,2.625,78921.74504339583,3243635.4221487427,92,87.0,10.0,4937,1837,1.2333333333333334,7,2,2806.25,8,4,2,0,2
4161,Master,1,5,0,3,0,2,3,3,3.625,4659.1435388579175,131516.9367458093,104,57.0,3.033333333333333,6696,2070,1.5,5,5,3425.0,8,4,1,2,1
4162,Master,1,4,1,3,0,1,6,1,4.0,5716.190345969597,161474.05525083706,103,67.5,5.65,8674,813,3.2,6,2,3800.0,8,4,1,1,2
4163,Challenger,2,4,2,2,4,2,1,1,2.875,35309.79033039645,1397264.6349181985,104,78.75,15.0,5509,1921,1.0666666666666667,7,2,4018.75,8,5,1,0,2
4164,Master,3,7,0,1,3,3,2,0,3.5,0.0,0.0,104,85.71428571428571,0.0,8400,2245,1.1714285714285715,23,1,2025.0,8,4,1,1,0
4165,Challenger,2,6,0,2,1,3,3,1,4.0,2269.2796560750076,102750.0296048399,96,75.0,0.0,8723,1954,1.3,22,1,2250.0,8,4,0,0,2
4166,Challenger,1,5,1,2,3,4,0,1,2.625,78921.74504339775,3243635.422148725,97,87.0,10.0,5411,2036,1.2333333333333334,7,2,2806.25,8,4,2,0,2
4167,Master,1,5,1,2,2,2,3,1,4.553571428571429,0.0,0.0,103,78.0,10.5,10574,2199,1.6666666666666667,19,1,2337.5,7,3,1,1,2
4168,Challenger,3,7,0,1,2,3,2,1,4.625,2931.4272166626447,69288.84346115777,103,79.28571428571429,0.0,12932,3581,1.4142857142857141,26,1,1693.75,8,4,2,0,1
4169,Master,1,6,0,2,3,2,1,2,4.125,0.0,0.0,104,75.0,0.0,8294,3137,1.55,12,2,2281.25,8,3,1,0,2
4170,Challenger,3,5,1,2,1,2,5,0,4.375,1571.196618956634,41585.402322763584,92,69.0,11.333333333333334,10091,2210,1.2499999999999998,19,1,2975.0,8,5,0,2,0
4171,Challenger,3,6,1,1,0,4,3,1,4.25,0.0,0.0,103,70.0,15.0,10852,3024,1.5571428571428572,6,3,3637.5,8,4,1,0,1
4172,Challenger,2,7,0,1,2,1,1,4,3.75,2231.0148119962037,72094.1842213983,95,70.71428571428571,0.0,10842,2007,1.442857142857143,7,4,3962.5,8,4,1,0,1
4173,Master,2,5,0,3,2,0,4,2,3.75,0.0,0.0,102,78.0,0.3333333333333333,10629,1116,1.1800000000000002,23,3,1775.0,8,4,1,2,1
4174,Challenger,2,6,0,2,1,4,2,1,4.625,0.0,0.0,88,57.5,3.0,10002,2804,1.4000000000000001,10,3,2737.5,8,4,1,1,1
4175,Challenger,2,5,0,3,0,1,6,1,5.5,1787.5443393089229,48098.38356342388,81,60.0,6.5,9359,928,1.6199999999999999,19,2,3056.25,8,6,2,1,1
4176,Challenger,3,4,0,4,2,1,4,1,4.125,658.8847241706343,18729.03521013951,101,60.0,3.5,5395,933,1.2999999999999998,7,1,4025.0,8,5,1,1,2
4177,Master,1,3,3,2,3,5,0,0,4.5,2211.391051580178,99661.76850775446,103,90.0,27.8,7145,1801,5.166666666666667,12,0,1012.5,8,3,1,1,1
4178,Challenger,2,5,1,2,3,3,2,0,3.875,1028.7332611430184,23924.735705221614,102,81.0,10.0,10370,1690,1.5333333333333332,19,0,3125.0,8,3,2,0,2
