index,rank,troop,building,spell,common,rare,epic,legendary,elixir,conf_synergy,lift_synergy,levelSum,avgSpeed,avgSpellDuration,totalHP,totalDMG,avgAS,totalUnitsCount,abilityCount,avgRange,totalGroundT,totalAirT,totalBuildingT,totalBuffCount,totalProjectiles
5759,Challenger,5,1,2,1,3,3,1,4.375,5430.851003609189,142778.44985835048,104,69.0,26.0,12606,2425,1.4666666666666668,5,2,1781.25,7,5,1,2,0
5760,Master,6,0,2,1,1,2,4,3.875,53682.66110481909,1437721.7738654795,104,72.5,4.0,9693,2377,1.3166666666666667,6,5,2706.25,8,4,1,2,0
5761,Master,6,0,2,2,2,3,1,4.125,2804.311148021502,60047.14607901747,104,72.5,1.3,10424,2367,1.7333333333333334,10,2,2431.25,8,5,1,1,1
5762,Challenger,4,0,4,3,0,3,2,3.5,1955.1513776006263,54407.8590993199,82,75.0,0.275,5435,998,1.3499999999999999,8,3,3012.5,8,5,0,2,2
5763,Master,6,0,2,2,2,1,3,3.75,25997.714433927926,674880.1719288445,104,77.5,0.0,9329,3170,1.3,8,4,1906.25,8,4,1,1,1
5764,Challenger,4,1,3,2,3,2,1,3.375,9254.68240228189,253186.72691920656,99,97.5,7.5,4406,1803,1.42,22,1,2912.5,8,4,1,1,2
5765,Challenger,6,0,2,4,1,2,1,4.0,0.0,0.0,93,72.5,0.0,6899,1665,1.5166666666666666,22,1,3181.25,8,3,2,0,2
5766,Challenger,4,1,3,3,2,1,2,3.25,53694.56886649246,1497170.501103971,101,90.0,7.5,4912,2735,1.2000000000000002,8,2,3325.0,8,4,0,0,3
5767,Master,6,0,2,1,0,5,2,4.125,2825.534939687367,70158.03536167322,104,82.5,1.05,10947,1532,1.5333333333333332,21,2,2381.25,8,5,2,2,0
5768,Challenger,7,0,1,1,1,3,3,5.25,0.0,0.0,89,75.0,1.5,11140,2582,1.6285714285714286,26,4,2350.0,8,3,0,0,1
5769,Challenger,7,0,1,3,3,1,1,3.375,0.0,0.0,72,85.71428571428571,0.0,6276,1927,1.6714285714285713,11,2,2812.5,8,5,1,1,1
5770,Challenger,4,1,3,2,1,3,2,4.267857142857143,1408.8484888158664,36046.505704282026,73,60.0,12.25,7158,871,2.42,4,3,2675.0,7,2,1,1,3
