index,rank,crowns,troop,building,spell,common,rare,epic,legendary,elixir,conf_synergy,lift_synergy,levelSum,avgSpeed,avgSpellDuration,totalHP,totalDMG,avgAS,totalUnitsCount,abilityCount,avgRange,totalGroundT,totalAirT,totalBuildingT,totalBuffCount,totalProjectiles,winner
7768,Challenger,3,4,0,4,2,2,4,0,3.982142857142857,0.0,0.0,102,78.75,0.625,7516,1668,1.4,8,1,2212.5,7,5,3,3,2,True
7769,Challenger,2,5,1,2,3,2,3,0,4.25,0.0,0.0,100,78.0,11.333333333333334,8668,1598,1.2666666666666666,14,1,2450.0,8,4,0,1,1,True
7770,Master,1,5,1,2,4,2,1,1,3.5,0.8129126925898752,2.888302336435869,99,90.0,7.666666666666667,8265,2037,3.216666666666667,9,3,2812.5,8,3,1,1,1,True
7771,Champion,1,3,1,4,1,1,4,2,3.5,10.52037401152042,106.3193212862385,104,70.0,9.82,5868,546,1.5,3,1,4275.0,8,5,0,2,1,True
7772,Challenger,1,7,0,1,4,2,0,2,2.75,0.8075880758807588,4.565223718941541,73,79.28571428571429,0.0,4080,1775,2.157142857142857,11,3,3243.75,8,5,1,1,0,True
7773,Challenger,1,6,0,2,3,3,1,1,3.375,10.50336748491783,172.00902760844386,88,72.5,0.0,5903,2306,1.7000000000000002,7,4,2262.5,8,5,2,1,1,True
7774,Challenger,1,7,0,1,2,1,1,4,4.25,0.0,0.0,82,64.28571428571429,0.0,9655,2596,1.9285714285714288,7,6,3337.5,8,4,1,0,1,True
7775,Master,3,6,0,2,1,1,2,4,3.875,1516.1561686412308,38678.28920922667,104,72.5,4.0,9693,2377,1.3166666666666667,6,5,2706.25,8,4,1,2,0,True
7776,Challenger,1,6,0,2,0,1,4,3,3.75,0.8141592920353983,8.570097810898929,84,85.0,0.55,8146,1697,1.5999999999999999,7,3,2937.5,8,4,1,1,1,True
7777,Challenger,3,6,0,2,2,5,1,0,3.75,0.0,0.0,104,92.5,0.0,7301,2043,1.0999999999999999,27,1,2743.75,8,4,2,0,2,True
7778,Master,3,4,1,3,3,2,2,1,3.375,49.81096328807205,1826.152857970517,104,82.5,7.775,4866,1885,1.32,22,1,2937.5,8,4,1,2,1,True
7779,Challenger,3,6,1,1,3,2,2,1,4.375,0.0,0.0,86,75.0,24.5,8257,1473,2.1142857142857143,23,2,1900.0,8,3,0,0,1,True
7780,Challenger,3,6,1,1,4,2,2,0,4.375,0.0,0.0,101,57.5,24.5,13758,2784,2.5142857142857147,6,2,2637.5,8,2,2,0,1,True
7781,Challenger,1,8,0,0,1,2,4,1,4.375,0.0,0.0,93,78.75,0.0,11749,1731,1.1625,25,4,2131.25,8,2,1,0,0,True
7782,Challenger,1,4,1,3,2,2,1,3,4.25,0.0,0.0,89,78.75,7.5,7478,2767,1.02,9,2,2987.5,8,5,0,1,2,True
7783,Master,1,6,0,2,5,2,1,0,3.5,0.0,0.0,104,77.5,0.0,8500,2595,1.6500000000000001,10,0,2837.5,8,4,1,1,1,True
7784,Challenger,3,7,0,1,2,2,3,1,4.5,0.0,0.0,87,75.0,1.5,8472,1462,1.4142857142857141,26,1,2750.0,8,4,1,0,1,True
7785,Master,1,5,0,3,2,3,2,1,4.0,0.0,0.0,103,66.0,0.0,6627,2643,1.28,7,2,2925.0,8,5,0,0,3,True
7786,Master,1,6,0,2,2,3,2,1,4.0,0.0,0.0,104,82.5,0.0,11517,3201,1.5333333333333332,8,1,2287.5,8,5,1,1,1,True
7787,Master,1,7,0,1,1,2,2,3,3.75,38.00358453858568,663.3343057241867,103,83.57142857142857,0.0,9628,2720,1.4571428571428573,7,4,3418.75,8,4,1,0,1,True
7788,Challenger,3,6,0,2,1,0,4,3,3.75,24.881415937344617,561.0549549170779,85,72.5,0.5,6903,1658,1.2,20,4,2706.25,8,4,1,2,0,True
7789,Master,1,3,2,3,3,1,2,2,3.5,36.832065860162324,577.3239354734254,104,70.0,12.22,6259,2871,1.06,5,1,4450.0,8,4,0,1,2,True
7790,Master,1,6,0,2,2,1,3,2,4.375,3.508711665314122,40.68045172306819,104,67.5,0.75,11606,2566,1.95,6,3,2918.75,8,5,1,0,2,True
7791,Master,3,5,0,3,3,3,1,1,3.5,0.0,0.0,103,81.0,3.3333333333333335,7464,2006,1.32,23,0,2525.0,8,5,1,1,2,True
7792,Challenger,1,4,1,3,1,3,3,1,3.375,0.8649045521292218,4.55692598592846,96,82.5,11.025,5010,853,3.3200000000000003,10,1,3318.75,8,3,1,2,1,True
7793,Challenger,1,7,0,1,2,3,1,2,4.125,0.0,0.0,104,70.71428571428571,0.0,9919,1632,1.3285714285714287,26,2,3250.0,8,5,1,0,1,True
7794,Challenger,1,5,1,2,3,4,0,1,3.625,0.8072727272727273,5.06127101738387,100,84.0,10.0,8549,2778,1.3166666666666667,9,0,2637.5,8,3,1,0,2,True
7795,Challenger,1,6,0,2,2,3,1,2,4.5,0.0,0.0,104,70.0,0.0,12176,3539,1.2833333333333332,10,3,2525.0,8,5,0,0,2,True
7796,Challenger,2,4,1,3,4,3,0,1,2.75,0.9011194029850746,3.201703332688132,70,97.5,8.25,4265,1007,2.08,10,0,3137.5,8,2,1,2,2,True
